Month,Age,Annual_Income,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Credit_Mix,Credit_History_Age,Monthly_Balance
10,30,138473.4502,13,5,20.95612507,28,22,3,1,31.11101289,68152.81884
6,59,52627.87961,8,0,13.04317176,28,8,16,1,30.36353556,182621.6584
11,17,14981.4837,13,1,12.79102038,20,9,4,0,31.87331284,91589.03255
5,44,114929.1867,0,3,1.84726185,25,19,10,1,30.95181332,90869.58221
10,54,169645.354,0,12,26.34723322,5,14,3,0,43.15087503,103053.07
10,80,68085.05455,11,10,18.65558304,3,6,12,0,34.78116762,56891.73705
10,62,89075.98729,0,1,29.53429244,16,6,0,1,12.81122773,199648.7109
2,43,162115.7038,9,5,23.12052252,27,5,4,1,19.61003102,147335.3902
3,45,74675.22592,10,7,1.725343917,24,24,9,1,38.06606148,116895.3155
3,91,29176.17358,14,8,3.466700043,24,9,1,1,45.18799195,59823.94735
6,62,74491.61741,6,11,0.6059553049,11,2,17,1,46.23183943,81903.84837
7,91,115810.3242,6,8,12.60697622,9,27,7,0,28.21244979,169732.6183
6,54,14148.08583,10,14,26.45708112,27,16,15,1,37.32041863,112815.5979
11,22,44855.96485,9,14,14.92764022,6,22,5,1,25.62479546,30168.17963
3,27,59645.3528,2,4,4.641096107,1,3,8,1,41.5342523,184747.0076
4,79,93062.23063,14,13,0.532123504,1,4,17,1,37.3464323,16181.28071
5,60,129756.4041,0,3,13.5916426,2,17,18,0,32.55897725,29209.67131
10,28,37714.57797,2,13,5.35276036,8,22,5,0,27.22664142,192679.6878
1,13,107027.1797,13,7,29.13132011,10,26,3,0,48.52244243,195189.5076
11,20,17276.39594,2,7,3.468867235,12,8,2,0,47.41884654,29642.84308
7,24,89179.41816,0,14,23.322148,8,1,4,0,40.78646394,79911.74725
9,77,4188.234479,2,8,15.5381302,0,1,15,1,25.72933956,41243.94252
8,31,157042.7104,1,8,14.03072227,12,22,1,0,21.83541426,141911.624
10,38,93186.14657,5,13,21.05232625,21,27,8,1,17.19638997,187400.567
10,27,112071.4415,0,10,20.23236962,8,29,16,0,28.42933139,50358.18137
4,14,138597.998,3,0,16.81171935,18,21,19,0,16.52624261,166738.2267
10,53,49915.01226,4,4,18.2072987,21,7,17,0,14.32679512,116896.2835
8,22,120169.0517,7,14,9.791387563,21,22,16,0,37.50192179,15193.76848
2,58,109757.9352,2,3,27.08863734,15,14,5,0,18.13692837,141871.2882
2,71,102561.9364,13,11,21.88818401,6,13,5,1,27.35432975,103132.2146
2,8,50231.51771,11,9,3.416434637,9,15,10,0,36.27373477,116717.5925
1,53,23993.97765,14,2,25.37451549,25,19,14,1,48.37989394,129406.1683
11,6,174450.1244,13,2,15.49914618,18,2,12,0,20.70560715,46118.9553
10,69,97427.90335,3,8,6.01802278,7,26,13,0,47.3822138,91937.93381
10,36,9535.590708,6,6,21.84763616,0,18,7,1,30.42990928,24307.15573
5,75,169393.2665,13,11,28.43201634,25,25,17,0,31.39280993,111215.228
8,68,109599.8923,9,9,16.41544975,29,19,17,1,16.33272342,100228.8104
9,50,137476.1922,8,2,1.121504602,12,18,14,1,32.6976452,62471.63524
1,13,51209.828,13,3,14.79013296,5,12,5,0,44.3204138,52288.5087
4,7,50803.03464,10,5,20.44349501,19,12,9,0,45.00656546,168091.2858
4,24,109759.0311,1,10,27.52583809,0,26,19,0,46.78778819,50626.10634
4,24,38833.50119,6,4,27.70085332,13,24,3,0,40.45553964,179906.1905
7,99,185224.6283,11,3,12.67994273,4,21,0,1,24.58901591,106662.86
2,35,137608.65,12,5,25.04941705,9,25,11,0,29.47303491,152415.5473
11,80,102535.913,12,9,10.12391136,24,15,7,1,19.12163646,66416.85768
4,32,56411.40459,11,3,11.25179059,4,26,6,1,35.16790579,37391.67231
11,48,162091.5641,1,9,29.54852754,0,16,16,0,49.12675765,160699.1886
6,72,196976.1729,2,5,23.74820066,12,7,15,1,22.41105733,95607.64065
4,68,149870.7614,4,11,23.65893473,9,22,7,0,26.07992533,53675.02821
1,12,81561.91912,2,0,14.6086109,21,1,2,1,44.01341639,48347.61338
1,20,194181.2999,5,0,26.74792188,28,9,17,0,49.57643225,68029.3466
11,72,182351.1774,0,8,13.31318709,6,4,1,0,35.96588297,159334.3083
6,76,23454.20724,1,14,19.03112253,7,19,19,1,16.02388677,126254.1283
8,79,164589.1324,1,0,18.52717909,22,19,1,0,49.62851948,23521.97953
6,54,193129.2106,6,1,7.024000968,2,26,18,0,33.60054569,30051.17833
6,92,105363.8393,2,9,6.427435759,4,17,9,0,44.4141371,9148.623453
6,99,65561.6201,0,6,20.5892035,16,23,1,0,15.2667741,188393.1426
6,91,145438.0569,1,4,25.86502421,10,16,1,1,36.78628194,30630.6649
10,30,160215.591,4,7,3.088771283,7,28,5,0,34.98563277,57695.88986
8,32,188766.9515,10,14,15.26396968,4,13,5,1,24.80004595,184069.7672
8,38,77225.83701,6,5,26.97730578,23,19,15,0,49.49261097,50832.35055
3,16,44188.34745,12,3,29.8460983,23,16,8,1,19.60006336,144403.4593
1,51,139638.2224,8,6,12.29719556,13,28,3,0,17.35765582,54301.66496
3,93,54058.20266,8,8,27.44416732,12,16,1,1,46.05994436,146212.1992
11,33,29366.47378,11,0,22.79826266,22,27,17,1,11.92943771,130988.4225
3,76,120268.3129,4,7,26.4443614,17,7,16,0,25.4955763,75946.39156
3,95,26422.85279,3,11,26.17682436,5,14,9,1,37.04879126,78963.4811
10,63,132596.149,6,6,26.39705251,13,21,17,1,18.69157282,80719.24435
6,50,128090.0962,11,12,6.467874943,26,12,2,1,12.22481508,153480.5452
10,33,34876.76041,12,3,27.81728838,2,22,7,1,46.33014377,191373.4907
1,21,22266.17257,6,4,20.08294009,12,5,5,0,21.01166109,68087.23339
11,33,136238.8892,7,9,12.31324567,17,24,0,0,26.70336262,109989.5678
6,63,157862.8382,1,8,4.56063942,19,2,6,1,49.89887166,105934.072
5,16,114658.5833,9,1,29.42523995,24,23,12,1,21.62150643,135075.7192
8,68,113287.6478,3,7,3.340234806,5,3,4,0,22.77426652,66694.67256
4,94,133527.2464,1,14,27.39999258,19,10,0,0,49.55167574,54925.02547
5,61,198466.2966,4,13,25.89242317,1,6,7,1,43.54780704,23982.03236
6,92,58335.34549,14,6,17.67850905,22,4,19,1,28.80451447,69310.6461
10,21,1936.686639,11,0,10.41162003,2,23,4,1,33.39046601,114915.1185
3,99,170155.0651,3,13,2.987045585,0,9,10,0,46.99141176,84365.23678
10,73,136494.6086,8,6,7.427726576,17,26,5,0,18.69209425,19477.37385
7,86,122822.4714,14,4,11.91678913,4,0,13,0,30.17413007,102256.0994
4,96,2101.841693,10,14,17.81088548,22,12,9,0,36.89294628,152618.3375
3,15,114824.0373,5,14,8.605049588,10,22,9,1,41.78232123,184621.4143
5,15,165052.2557,10,3,19.62592511,8,24,14,1,42.00615691,48462.25223
3,31,50334.3462,9,7,21.40291407,20,12,9,1,30.06484762,6934.966495
6,6,2234.519245,1,7,19.96074013,14,28,15,1,19.75235788,160043.3472
6,21,51187.45664,7,8,24.89474493,12,12,11,0,40.7235529,24688.2179
9,75,6148.742548,14,10,5.752131435,19,8,17,1,38.14805797,34994.93288
7,14,83786.29126,12,8,13.92304031,7,3,1,1,47.37976701,38682.769
10,53,161101.4719,10,0,10.80030927,0,15,15,0,38.16252906,35044.28505
3,63,134178.6261,4,12,12.19052716,9,3,9,1,35.53921297,163030.2839
2,8,165409.1829,5,10,6.547571597,23,18,5,0,41.19612677,39957.08542
11,80,79592.29942,10,8,13.99256877,3,18,3,1,32.47362265,32675.48746
8,50,28439.63861,5,14,28.54429683,12,3,16,1,32.1038843,81091.12407
10,40,187471.8358,2,7,17.53023589,18,25,1,1,32.59735273,196900.3154
6,77,123290.276,0,8,22.94890335,25,25,17,1,39.77838608,84991.02373
3,2,141199.1539,8,4,10.17292347,28,18,0,1,47.21493587,198584.8289
2,52,46150.7905,7,1,2.346736928,19,29,19,0,35.98947537,160013.8419
5,3,103608.5237,13,12,23.12770839,12,13,6,0,31.24894063,2382.643647
10,4,89347.20845,8,9,16.08007877,28,10,9,1,24.05862851,106064.9445
9,17,18295.90541,10,7,28.30821185,22,3,7,0,41.62817702,160779.4103
11,33,85368.59841,8,8,8.775059489,14,13,11,1,23.23131264,155486.3723
11,39,126013.3664,2,1,28.39156209,3,4,9,0,20.49239576,58525.32931
7,8,114254.0167,9,13,12.2202848,26,9,8,0,46.40548349,194452.5113
4,98,26138.39,14,6,7.870036945,11,1,9,0,15.84965479,100039.0029
2,23,195348.2516,9,11,22.98129933,29,12,9,1,37.68782626,97726.70112
2,95,23796.28754,5,13,9.117836222,24,21,12,1,27.99760131,18906.03256
9,40,22718.666,6,10,25.56483478,7,4,7,1,48.41179149,34731.69903
7,79,47588.17117,10,3,19.2427056,27,25,8,1,15.14397886,108239.998
4,45,4963.28915,8,12,8.445581808,3,16,0,0,30.74287497,32894.41974
6,93,9971.649411,11,13,9.603564537,22,26,15,1,22.89243864,86771.10286
7,39,54615.50177,5,13,3.724012891,15,23,1,0,16.42887757,146886.1629
8,0,86244.20021,1,13,7.391891706,4,12,10,1,12.70253871,28990.2109
2,93,120823.112,7,9,0.6430750353,24,9,2,1,44.12536086,86319.33717
2,59,175081.3003,6,3,0.7164049534,4,26,7,1,24.42145415,132327.8158
8,85,11248.23414,12,9,20.03173022,29,23,7,1,40.27108858,107273.0243
11,18,113378.465,12,12,22.88663598,27,26,19,1,22.06704562,56334.38451
8,31,63976.99859,1,2,15.51397112,27,25,6,1,43.24046306,191143.8868
4,32,195213.1755,12,2,29.80277365,3,5,6,1,36.10445109,144217.9005
6,0,20814.44536,14,8,28.79219293,20,1,11,1,30.07661122,9445.688625
11,6,48757.98292,1,1,15.46753039,9,15,17,1,45.57535588,169101.7999
2,43,33320.82967,2,7,28.80704888,11,5,10,1,35.00518341,58181.03064
2,61,1011.601296,12,11,24.40025917,14,19,2,0,35.05571275,179956.0982
3,76,172173.0796,13,3,16.42163401,3,13,12,1,34.72831184,166295.3215
3,86,155427.276,8,3,28.38442135,18,22,6,0,25.50154921,32124.31678
4,40,118844.8753,2,3,3.904820298,1,17,9,0,15.90241335,159195.7515
9,79,41577.78572,4,9,15.96320563,24,14,9,0,44.05239289,5988.629977
4,29,124603.2005,2,14,5.014897787,22,26,4,1,40.51530941,51338.72033
11,59,138955.5945,4,5,1.660300623,26,18,1,1,40.97695763,7431.011795
7,83,29561.83407,4,8,18.84891545,18,5,0,0,26.54099882,37752.30618
3,73,34660.26924,5,6,10.90121115,7,28,6,1,46.50932699,52088.76312
10,20,86679.93465,5,6,13.37492233,29,25,19,0,23.63194467,49661.33488
5,74,89621.01793,12,11,19.11807019,15,7,11,0,20.11430844,189319.1106
11,28,114219.212,1,3,28.79713441,8,23,5,1,28.23564942,114388.6235
8,98,12163.15467,0,3,28.06724817,16,9,8,0,43.12425231,20827.86673
10,86,33624.04676,0,0,6.188138353,24,19,14,0,29.14242437,131444.2678
8,95,120455.281,0,11,1.690033943,9,15,13,1,42.81777225,190624.1713
8,42,122498.5969,1,7,16.67808297,22,26,6,0,30.95419607,117507.4034
8,16,89250.88891,7,12,24.10733772,24,14,14,1,24.43500245,73039.9912
8,55,62206.05824,7,0,6.149476116,11,27,10,0,27.63918139,33973.36884
11,26,26833.65959,5,0,19.87111046,18,15,15,1,42.00566179,61584.32751
6,35,142478.9692,9,7,26.59780245,28,8,9,1,22.63243618,132222.1753
4,35,128138.1074,4,10,18.6336359,27,13,9,0,21.61085614,69603.38677
7,19,134665.0917,13,3,21.38701187,11,16,13,0,32.05157681,113294.9758
10,60,56244.44658,5,3,0.8018698361,22,2,1,0,13.84868606,63984.3522
11,10,196301.1136,14,8,7.107505391,18,7,14,1,10.54493627,13179.85008
10,47,36148.67077,4,13,0.4157564647,4,26,7,1,15.5224313,61545.54061
3,34,25196.45804,1,6,0.274641466,10,5,16,0,29.26220344,158558.1899
1,21,65959.60507,10,9,0.04731796777,2,16,18,0,18.40049473,194857.1068
11,17,109605.6647,6,9,23.4206227,13,27,6,0,13.91051515,186670.9021
1,16,167034.9158,2,10,26.56729136,9,2,7,1,30.92902488,12425.95808
3,71,33066.3049,10,1,23.40500032,13,27,2,1,23.86664264,192651.1774
7,4,1798.045521,8,0,27.24329427,9,29,6,0,19.27569153,183425.5285
10,35,191298.3735,11,9,5.950616046,11,12,9,0,32.11081959,46067.45513
2,19,174383.4563,13,0,11.14093372,23,27,0,1,41.43064998,33456.16172
11,61,183574.9828,13,8,12.00394546,25,1,12,0,33.63068117,137631.194
9,88,44976.04496,6,6,18.82736218,28,24,11,1,35.45449502,33107.9654
3,31,58281.93612,2,3,16.52560726,22,26,11,1,24.25761562,112165.1658
3,80,196609.8972,3,1,22.53120429,0,2,0,0,10.60906091,75108.40478
10,68,174450.2634,5,11,0.5028955669,10,20,5,1,44.74682397,92044.70374
3,41,117852.8224,7,4,22.14057275,16,22,18,0,19.45039234,102557.1515
6,19,193764.6831,5,4,24.48184366,24,14,11,1,43.22214502,133473.2637
7,31,167971.6016,0,8,27.62453491,27,21,14,1,43.89863669,55375.89247
3,13,8674.671612,11,11,9.957345768,17,3,0,1,38.25313842,60531.33658
2,66,94430.90827,9,13,3.939260049,7,10,15,1,33.24744375,131080.9063
3,66,64001.705,2,14,14.8531349,29,26,0,1,31.94203448,182122.6713
5,36,97247.16455,6,5,8.275324649,0,3,8,0,10.66469355,72935.33723
5,11,157604.052,13,8,4.097082841,5,18,18,1,45.2193112,80703.31686
5,8,44932.22453,11,7,14.83467036,11,1,14,0,33.05198483,166923.3347
6,67,92073.42463,2,12,22.83136842,6,11,19,1,28.55390406,76222.7819
8,9,8.931178316,6,2,17.9611691,18,28,13,1,45.08314134,102809.1242
9,57,42038.21449,11,14,4.57508071,10,11,0,0,30.67236695,74994.82608
8,92,74813.48718,0,13,26.37768156,3,14,15,0,17.84972045,187500.1272
10,86,4612.885464,5,2,0.7217114483,27,12,11,0,15.20396902,91738.95891
7,84,44975.97198,10,0,2.880959678,20,24,2,0,17.96219236,77704.49945
6,88,99389.63831,9,7,14.49694778,26,19,11,1,22.84790016,50343.89972
1,83,124455.3406,9,14,12.84823471,23,4,4,1,12.76321579,107235.9708
1,8,118190.239,10,12,9.088869636,10,21,1,0,28.44527585,111905.8317
7,21,43847.3511,5,0,26.49026649,14,19,16,1,21.97116688,88224.13571
2,58,118108.2389,3,0,5.220129636,15,16,19,1,45.36140223,75106.34663
7,37,186080.8447,8,2,18.9885171,6,3,15,0,48.8024108,161046.3924
4,93,188108.8894,12,4,17.56805595,0,29,16,1,12.97769332,119560.1075
4,49,184924.9095,0,8,17.93109477,28,18,0,0,19.13440204,49230.72242
9,58,122021.9551,6,7,14.26192461,23,10,16,1,24.82439388,183519.2303
6,66,157023.4742,13,13,10.69043053,10,0,18,0,21.4184809,65085.88397
9,10,15666.48634,5,9,20.7870059,0,19,2,1,40.04685729,114456.1281
8,80,130675.58,5,11,25.83240092,6,27,12,0,31.23919204,194439.381
1,94,158383.255,11,6,25.8601952,29,29,9,0,41.67324634,184087.2988
5,80,113655.4891,11,11,16.98100293,7,7,5,0,11.27519686,47546.76868
8,72,128299.8276,3,4,11.25317438,28,23,12,0,22.62953847,9329.559664
11,31,194848.7404,10,7,18.29146793,12,24,19,1,17.41476593,165399.7008
9,69,104917.0567,0,1,1.119836723,12,9,11,1,15.18351526,135077.6297
3,69,89733.72247,4,7,2.207367512,3,10,8,0,22.88186265,15071.52323
11,90,118157.608,1,14,15.90637661,8,25,6,0,47.64393642,29990.22422
2,36,60168.48405,14,1,11.26307086,17,9,18,1,36.59980242,159646.545
3,2,1146.23843,8,1,15.209332,4,16,9,0,17.7419601,55060.46927
3,19,61698.95557,8,8,16.86165567,15,9,0,1,11.8462028,46671.6671
1,76,23211.90423,9,13,18.06810406,25,2,6,0,35.95334428,15865.85793
1,47,96326.4774,4,12,28.64844355,14,4,14,0,12.73700593,32572.31965
4,78,78075.41518,9,5,24.28855922,16,7,2,0,20.13332081,42538.54985
3,15,149162.5723,5,11,11.21350177,24,14,8,0,17.36647767,1750.104293
11,99,22974.86049,8,9,6.670842665,19,5,18,0,39.47447152,75066.33739
11,18,3324.909205,14,8,28.55297735,12,5,12,0,47.33694297,22455.19766
3,0,112171.2746,0,5,29.58424112,27,2,18,0,43.32487341,97019.33012
2,9,112548.9909,5,1,3.338046182,1,16,8,0,12.07373362,146656.3062
1,71,163856.7184,13,1,9.579180924,5,12,19,1,36.78358797,142056.0878
8,28,13202.84144,11,1,25.13208955,26,6,4,0,46.60079158,106134.8444
4,62,18138.12709,7,11,12.99151202,23,29,15,1,14.19688057,135311.2599
10,36,138862.7731,0,13,15.9594199,26,20,16,1,44.8623907,134958.5977
10,14,114906.0386,10,8,17.9251078,25,2,1,1,23.93032414,4725.699992
7,97,120988.5444,13,11,25.44984809,2,3,5,1,47.7256972,24368.91479
4,19,3153.961769,9,9,17.26841477,23,23,18,1,43.74136111,126085.9375
8,12,28911.89844,3,1,20.14413627,9,3,18,1,22.76380879,195999.1383
11,14,96373.13432,13,0,2.90827022,12,10,15,0,43.90344039,124452.3496
6,32,30967.82355,8,3,19.1783556,15,26,13,0,37.00536191,188899.014
9,77,196114.6781,3,7,0.6017096316,1,7,9,1,24.55396424,59142.40659
6,59,12155.00213,9,2,16.72925362,14,9,12,0,26.5799729,43589.39888
5,75,69612.07753,13,14,2.004731541,8,16,15,0,39.73641362,162904.9495
7,24,199050.0922,14,14,12.63276204,6,7,3,1,44.98000882,38318.46395
1,9,105779.6112,3,3,14.55826628,15,1,14,0,25.21226152,11.75571746
6,68,93400.16497,8,1,13.44965977,10,21,17,1,40.13408488,27899.31886
4,31,65303.63388,3,3,22.35773812,22,13,11,1,19.34917328,51187.00151
3,43,93397.18383,7,0,26.89260396,19,2,5,0,24.81216679,160019.374
11,38,138861.0612,13,5,16.28570558,28,3,8,0,31.56575154,42110.9984
6,86,84058.3279,10,14,24.33491016,13,13,19,0,47.25296954,664.9492623
8,21,194398.8547,9,2,3.885082697,26,5,4,0,34.7314923,70208.07528
10,26,6247.492162,5,7,21.96088074,17,10,12,0,24.41991553,69216.68486
2,45,102169.3313,8,5,10.26457699,22,16,8,0,38.40210515,142364.705
1,91,51919.67436,3,7,16.16469252,15,0,5,0,32.66394053,102350.4622
10,56,59560.16881,3,0,14.51283989,27,22,14,1,11.2210451,50242.17645
8,91,73790.45576,2,10,13.5947845,26,10,16,1,13.04807268,138899.0825
1,98,130123.1485,1,8,14.06318046,13,22,15,0,40.70072043,27667.28231
9,9,129578.6503,4,0,9.163472892,2,21,5,1,17.89887722,86628.87365
1,66,166641.0427,8,1,2.10455989,13,9,0,0,46.00806549,165860.1962
3,54,164548.98,6,0,23.96746779,20,14,1,0,20.6098234,174297.5372
4,87,76580.10236,13,1,21.6572281,0,16,4,1,11.88827433,48877.08993
10,7,133332.646,1,6,14.02798485,26,25,7,0,12.67085824,166693.8256
5,48,19988.0401,9,10,9.112158324,25,4,19,1,43.79834482,186237.7936
3,96,105514.1953,14,3,13.86047061,12,10,4,0,39.62859997,121017.3567
8,38,110985.5537,11,3,13.14677341,22,16,16,1,30.61661728,39736.07722
11,56,168103.0915,2,9,26.20879982,0,7,12,0,30.32688726,75462.20521
7,59,29397.44006,3,5,0.03847616214,14,11,8,0,26.55041085,71954.7889
2,14,13443.16761,11,7,6.071744791,15,10,10,1,32.19453328,129324.4202
2,60,70040.90494,7,11,25.55710238,16,24,11,1,17.49380904,159100.4711
10,84,22800.35058,3,3,12.04686936,11,2,18,1,43.45639151,93754.30129
9,2,42292.80633,3,6,9.397615272,9,15,12,1,46.45092025,176374.013
7,6,133831.724,1,4,4.967485407,5,9,10,0,43.93652018,142377.1056
4,29,5662.161825,4,14,8.424867143,15,21,0,1,34.43109431,25804.93143
3,92,69331.78407,11,11,6.438135192,26,7,12,1,47.92487758,114452.3792
9,50,130554.6234,6,10,21.56145532,23,7,3,0,20.41098461,72678.75875
2,59,40205.90506,8,13,9.588512929,2,17,5,0,24.37400835,98525.60154
2,65,190265.1041,11,7,15.47331663,5,23,19,1,31.85661496,35382.45652
10,85,144513.3411,10,10,23.87040367,5,1,10,1,27.69226124,37753.41625
9,59,44004.60565,6,3,29.66871339,2,21,14,1,47.7754218,8272.217037
5,83,31556.51495,9,2,26.47692266,25,2,18,1,48.67638255,9516.497403
7,57,158256.9511,9,8,29.62126842,26,1,5,1,48.98471832,187277.4062
1,33,83834.58794,8,10,22.60010477,21,22,14,0,23.26635501,142579.406
8,21,41645.35646,14,1,17.84200422,25,16,12,1,45.88153982,105023.8815
2,51,138234.6231,3,6,28.92261168,24,5,4,1,43.61812943,56876.61096
4,85,63204.73382,11,8,12.93260982,22,17,14,1,11.16722446,141454.8368
3,85,46839.82069,8,1,4.220476031,7,8,10,1,44.68695299,2040.2228
3,2,51326.04008,8,11,3.56461165,2,22,17,1,38.96496554,177283.6455
6,39,135101.9738,5,6,1.251135131,21,2,9,0,11.62912613,15003.06534
7,52,149165.0095,13,10,8.426683685,22,20,14,1,18.46870947,101567.2901
5,89,61811.46174,0,0,25.7884412,29,0,6,0,22.61411228,105681.465
8,80,22616.18843,3,13,22.81671161,3,7,4,1,39.21916285,6418.235293
7,18,18334.138,4,9,1.53058105,20,28,0,1,23.80135091,22826.13889
2,26,26615.41361,5,4,2.52231381,4,14,6,1,42.12452953,10264.77172
11,10,176453.1239,7,5,4.070269223,22,17,10,0,44.82982436,97118.32317
2,8,114632.4755,1,9,26.26830519,3,17,19,1,21.29127664,143003.5608
10,24,186339.2303,13,14,18.75076466,3,1,13,1,42.80920463,132815.3335
1,1,125586.7336,8,8,20.35491773,6,18,0,1,26.31718933,158843.4603
10,94,71138.6113,13,3,12.14445595,13,24,7,0,48.10653493,90399.30849
10,64,164194.262,9,14,0.3302751911,16,17,0,0,49.66336661,67012.79948
3,20,181129.874,6,0,13.75150105,18,14,5,1,18.66234858,79700.11458
2,69,9559.774444,7,7,23.8860909,27,0,1,0,19.09896501,32085.80212
6,55,150938.7546,3,8,25.85250666,6,2,13,0,38.28047194,22669.89895
2,89,28631.28631,9,8,9.736364193,12,0,18,0,10.1139781,101094.511
4,46,48326.65755,13,9,27.58398233,25,5,11,0,45.61704447,34568.65238
11,15,28615.35139,14,13,5.926713129,7,0,6,0,35.42687702,169946.0919
7,14,171364.2472,0,6,29.53438177,29,16,8,0,49.87652396,171233.7878
10,28,103205.8517,14,2,16.44892294,8,9,8,1,21.73236511,189433.4159
4,47,172548.7392,11,13,18.456265,4,18,7,0,27.76627846,186922.3796
2,56,66922.34802,13,14,3.409919615,17,12,19,1,12.10197548,48040.24858
