Order Line ID,Order ID,Order Priority,CustomerID,Customer Segment,Product ID,Product Container,Profit,Quantity Ordered,Sales,Discount,Gross Unit Price,Shipping Cost,Ship Mode,Ship Date,Order Date
2108,89909,Not Specified,CUS_0x778b,Cliente,e0a50c8f43b96b98df01f3cc2ee50534,Caja mediana,-86.27,12,354.62,7.89,29.85,13.99,Aéreo Urgente,8-Jan-13,5-Jan-13
4845,87853,Critical,CUS_0x85e7,Home Office,ab667f52a59ab0cf5af10f5c06dc8db2,Caja jumbo,"-13,242.64",8,"7,140.33",356.5,929.73,44.55,Camión de reparto,7-Jan-13,5-Jan-13
9240,89355,Medium,CUS_0x854c,Cliente,d2b7515ee2d1200b232ea69489bb259e,Paquete pequeño,-26.42,5,33.25,1.43,7,4.95,Aéreo Urgente,8-Jan-13,5-Jan-13
4810,89856,High,CUS_0x6701,Home Office,c476dd132c5d13adbf408afe1e8b3032,Bolsa de papel,-18.67,7,23.49,1.07,3.46,3.97,Aéreo Regular,8-Jan-13,5-Jan-13
2109,89909,Not Specified,CUS_0x1252,Cliente,653bed7091a2fd82d688e410c172943e,Caja pequeña,-29.04,1,36.85,1.16,37.99,1.1,Aéreo Regular,7-Jan-13,5-Jan-13
4265,87993,Medium,CUS_0xb060,Home Office,57c64aa702fbdf9258f5d2416029a757,Caja grande,75.34,2,"13,314.64",855.72,7158.41,24.49,Aéreo Regular,8-Jan-13,6-Jan-13
7196,85915,High,CUS_0x5707,Negocio Pequeño,951d187a1fc7c3332f5e6353710bcd53,Caja pequeña,-134.47,3,194.3,12.06,69.64,5.99,Aéreo Regular,8-Jan-13,6-Jan-13
1727,91575,High,CUS_0xb49f,Cliente,1de44715f7163b7dd189a93e209c6d0f,Caja pequeña,-238.57,12,186.36,12.43,16.88,13.18,Aéreo Regular,8-Jan-13,6-Jan-13
4264,87993,Medium,CUS_0x96d3,Home Office,add29714f32a31937003bbedbe932f3f,Caja grande,-547.23,1,687.02,44.15,738.73,24.49,Aéreo Urgente,8-Jan-13,6-Jan-13
3611,90513,Medium,CUS_0x19b0,Cliente,898eef10f9cae70cdfc765c8e72e55a2,Caja pequeña,-59.72,1,75.74,2.86,78.08,14.52,Aéreo Regular,10-Jan-13,6-Jan-13
7991,88156,High,CUS_0x8466,Home Office,2498ea025cf63e9cffd335926f985ba7,Paquete pequeño,16.84,1,23.26,0.99,23.98,8.99,Aéreo Regular,8-Jan-13,7-Jan-13
7990,88156,High,CUS_0x82fc,Home Office,6fe9f7c8c66b0fa7f7481f32d8de28be,Caja pequeña,10.59,4,16.22,0.98,4.36,0.99,Aéreo Regular,8-Jan-13,7-Jan-13
7851,85826,High,CUS_0x8df0,Corporativo,f3f8a5c1e7f7a62e8e08145137a8f2ca,Caja pequeña,"3,480.23",6,"5,509.39",234.66,946.63,19.99,Aéreo Regular,10-Jan-13,7-Jan-13
5700,87888,Not Specified,CUS_0x3d22,Home Office,19f7debe52619e6bd9ec6605c20b9616,Caja pequeña,-43.99,6,85.71,4.6,15.36,3.5,Aéreo Regular,9-Jan-13,7-Jan-13
5916,88794,Not Specified,CUS_0xc49c,Negocio Pequeño,73bd0d90ea7fd5c54038d034a11d9f06,Bolsa de papel,-4.9,6,16,0.66,2.93,0.97,Aéreo Regular,11-Jan-13,8-Jan-13
4686,18561,Not Specified,CUS_0x1e52,Home Office,3a6999f3e287e513d41378ff978099ad,Caja pequeña,-49.99,9,38.46,1.6,4.36,6.89,Aéreo Regular,10-Jan-13,8-Jan-13
2181,89770,High,CUS_0x8653,Corporativo,fca242168120aea9b0b5cddef3091bf9,Paquete pequeño,-196.78,11,135.41,1.76,12.31,8.99,Aéreo Urgente,11-Jan-13,8-Jan-13
6987,86527,Low,CUS_0x6fbe,Home Office,ca4f66499404476e03905cebb8326478,Bolsa de papel,-23.47,12,29.59,2.27,2.74,2.4,Aéreo Regular,14-Jan-13,9-Jan-13
5913,88794,Not Specified,CUS_0x3752,Negocio Pequeño,34994e97a0b3d727511fccd87307dff1,Caja pequeña,-13.41,3,16.87,0.14,5.68,7.57,Aéreo Regular,10-Jan-13,8-Jan-13
5914,88794,Not Specified,CUS_0x53bf,Negocio Pequeño,eb158124e05fe17a045107fbadbf390b,Bolsa de papel,-28.68,11,36.16,0.96,3.46,3.97,Aéreo Regular,9-Jan-13,8-Jan-13
938,91130,Low,CUS_0x92f9,Corporativo,3c9f7c98023c6373766b1cbe1059e7f5,Caja pequeña,-101.6,1,127.64,4.32,132.96,8.99,Aéreo Regular,16-Jan-13,8-Jan-13
5309,89039,Critical,CUS_0x3bc3,Cliente,4d93e8f3fb116ccf4935ff79f7d172ee,Bolsa de papel,95.19,12,138.97,5.45,12.19,2.36,Aéreo Regular,12-Jan-13,9-Jan-13
2347,90166,Critical,CUS_0x9051,Corporativo,5740000bdef8433249669c250d0e4c59,Bolsa de papel,33.18,6,52.27,1.15,8.8,0.96,Aéreo Regular,12-Jan-13,9-Jan-13
2328,14596,Critical,CUS_0x7d70,Corporativo,faa09b2a66400b8e0efaf7719abfcc5a,Bolsa de papel,28.35,24,209.09,7.81,8.8,0.96,Aéreo Regular,12-Jan-13,9-Jan-13
6365,89503,Low,CUS_0x22b3,Corporativo,dab97ab19d9db78a68e91337077c94ef,Barril Jumbo,-47.31,12,"3,656.36",163.05,314.12,14.7,Camión de reparto,15-Jan-13,9-Jan-13
5824,90078,Low,CUS_0x629,Home Office,d8a39428f0a6c8e4578c97499ef009cb,Caja pequeña,-184.79,11,335.45,13.7,32.1,8.65,Aéreo Urgente,14-Jan-13,9-Jan-13
2329,14596,Critical,CUS_0xae26,Corporativo,c58c4f099b3b8e58624a320139fe1d6a,Bolsa de papel,-83.1,19,61.8,3.7,3.46,3.97,Aéreo Regular,11-Jan-13,9-Jan-13
5308,89039,Critical,CUS_0x96c3,Cliente,8a2f495134f69bbf1b72550894f4c697,Caja jumbo,-821.86,8,569.32,22.33,74.91,46.74,Camión de reparto,11-Jan-13,9-Jan-13
7672,87552,Medium,CUS_0xc044,Cliente,896dba2423fcf53689c0f9fb6574741f,Paquete pequeño,-33.63,8,42.4,1.19,5.3,5.14,Aéreo Regular,11-Jan-13,9-Jan-13
497,90431,Not Specified,CUS_0x17e3,Corporativo,73bd0d90ea7fd5c54038d034a11d9f06,Caja pequeña,-21.26,4,26.81,1.06,6.84,9.17,Aéreo Regular,11-Jan-13,9-Jan-13
2348,90166,Critical,CUS_0x479c,Corporativo,26ee6f73916da61937d467287b81dc17,Bolsa de papel,-12.94,5,16.26,0.72,3.46,3.97,Aéreo Regular,11-Jan-13,9-Jan-13
1201,88060,Not Specified,CUS_0x962f,Negocio Pequeño,c390419f8ad51a00e47af1ddf5f31418,Caja pequeña,22.42,5,58.05,0.93,11.97,5.01,Aéreo Regular,11-Jan-13,11-Jan-13
1197,88060,Not Specified,CUS_0x82db,Negocio Pequeño,3d2342c06d7b9a0df2eff589de77940f,Barril Jumbo,479.98,5,"1,444.95",77.49,314.12,14.7,Camión de reparto,11-Jan-13,10-Jan-13
436,89426,Low,CUS_0x5975,Cliente,505de61c3b2b44fc721cfc74794efa92,Caja jumbo,27.55,5,"1,941.71",114.08,422.11,12.06,Camión de reparto,18-Jan-13,10-Jan-13
1199,88060,Not Specified,CUS_0x1bbb,Negocio Pequeño,650c401e013fd259edb1606d81db869c,Caja mediana,-26.8,5,71.53,2.18,15.22,6.75,Aéreo Regular,12-Jan-13,10-Jan-13
1198,88060,Not Specified,CUS_0x5dc2,Negocio Pequeño,bd381a20109443c51a88e6af0a48eaca,Caja grande,-116.91,11,147.79,2.17,13.71,14.37,Aéreo Regular,12-Jan-13,10-Jan-13
1200,88060,Not Specified,CUS_0xa201,Negocio Pequeño,c7d937cd95520fe6472123064dd22354,Caja pequeña,-22.96,7,29.06,0.69,4.37,6.6,Aéreo Urgente,13-Jan-13,10-Jan-13
3793,89448,Low,CUS_0xb7d9,Home Office,49983bae48e598f7bbe5780813936724,Caja pequeña,43.47,7,64.61,1.15,9.23,1.39,Aéreo Regular,16-Jan-13,11-Jan-13
7597,91228,Critical,CUS_0x364f,Cliente,815793f8697967b0686e0747934fd00b,Barril Jumbo,"2,601.32",11,"3,952.27",156.94,370.41,30,Camión de reparto,15-Jan-13,11-Jan-13
5623,88554,Medium,CUS_0x7843,Cliente,1d3c4a30a7d2c306753b8d414208e021,Caja pequeña,64.59,3,116.75,8.15,43.24,6.5,Aéreo Regular,14-Jan-13,11-Jan-13
3792,89448,Low,CUS_0x7871,Home Office,99f4e0aa34be8fb056cfbf8a61cee7fc,Barril Jumbo,436.01,3,"1,055.70",42.59,370.42,39,Camión de reparto,14-Jan-13,11-Jan-13
7598,91228,Critical,CUS_0x707c,Cliente,e464862e0ad27e19f6f1512e338b5469,Bolsa de papel,2,8,13.67,0.6,1.78,1,Aéreo Regular,14-Jan-13,11-Jan-13
1997,91200,Not Specified,CUS_0x5287,Corporativo,30240ae968b7fdb4d0fcc0806a5ce248,Caja pequeña,-217.05,10,266.54,19.01,29.29,19.99,Aéreo Regular,13-Jan-13,11-Jan-13
3794,89448,Low,CUS_0x6d2c,Home Office,7be4d998ef7f029a3dd4a9fcdefa4207,Bolsa de papel,-20.03,11,22.42,0.6,2.08,0.7,Aéreo Regular,16-Jan-13,11-Jan-13
1311,90058,Low,CUS_0x1026,Corporativo,4ed25cde9b785b05595f940d494f6899,Caja pequeña,101.68,3,149.06,5.45,50.7,5.09,Aéreo Regular,13-Jan-13,12-Jan-13
6429,90408,Low,CUS_0x3b7d,Cliente,a1e3ed233cca379d5aac803b8f7d42b9,Caja pequeña,-40.55,13,76.29,4.28,6.31,5.79,Aéreo Regular,15-Jan-13,12-Jan-13
8698,89716,Medium,CUS_0x66dd,Corporativo,23742f4b6146431e440ac7b0e36cff36,Barril Jumbo,938.74,6,"1,910.55",95.36,338.75,58.95,Camión de reparto,16-Jan-13,13-Jan-13
4349,89704,Critical,CUS_0x8247,Home Office,fb29e9590f31bbe1522ad841638838ef,Bolsa de papel,10.22,7,29.11,1.8,4.52,0.94,Aéreo Regular,17-Jan-13,13-Jan-13
8919,86507,Not Specified,CUS_0xc675,Negocio Pequeño,dd8319488e9a6ad123d8722a7fd82b38,Caja pequeña,-11.42,2,177.61,7.42,95.49,19.99,Aéreo Regular,15-Jan-13,13-Jan-13
2056,88666,Critical,CUS_0xa872,Negocio Pequeño,daf8ea4fbe8ebca56cbec2fe397252c9,Caja pequeña,-8.86,3,54.05,3.76,20.02,9.54,Aéreo Urgente,16-Jan-13,13-Jan-13
8914,86507,Not Specified,CUS_0x7403,Negocio Pequeño,07c5a1043d8c58394f7923d6091713ff,Barril Jumbo,-132.87,4,790.85,52.89,219.68,68.02,Camión de reparto,14-Jan-13,13-Jan-13
8691,89716,Medium,CUS_0x735c,Corporativo,db198c8f61b7ebfdce1b0e0d8ef1ba1d,Caja grande,-64.57,7,138.84,8.1,21.1,11.17,Aéreo Regular,14-Jan-13,13-Jan-13
4348,89704,Critical,CUS_0xb1bf,Home Office,10d4730c7217f2b05612e3326c028c48,Barril Jumbo,-263.62,5,563.09,34.82,122.41,56.14,Camión de reparto,16-Jan-13,13-Jan-13
2055,88666,Critical,CUS_0xb337,Negocio Pequeño,bef76f2d95272363a4fc6debb12093d4,Caja pequeña,-41.95,7,52.81,3.2,8.2,9.23,Aéreo Regular,16-Jan-13,13-Jan-13
8921,86507,Not Specified,CUS_0x792f,Negocio Pequeño,4264c198aa8ecf21867d43cd0ab6ae21,Bolsa de papel,-14.09,4,17.72,0.34,4.52,0.94,Aéreo Regular,15-Jan-13,13-Jan-13
8347,89128,Low,CUS_0xb8da,Home Office,48cd75c522bcb809585f00c7bb4fcef3,Bolsa de papel,50.41,12,77.18,2.2,6.7,1.02,Aéreo Regular,20-Jan-13,14-Jan-13
4337,90530,High,CUS_0x3e74,Home Office,e830143f324ce1b2ce795c06f182133d,Caja pequeña,15.44,6,47.14,2.12,8.54,7.96,Aéreo Urgente,16-Jan-13,14-Jan-13
377,91086,Medium,CUS_0x232b,Negocio Pequeño,fcbd86c8fbd2ce58ffcd3d461df66ceb,Bolsa de papel,2.4,2,13.97,0.55,7.43,2.17,Aéreo Regular,17-Jan-13,15-Jan-13
3688,37729,Not Specified,CUS_0x2d37,Corporativo,2dca5dd254201bdd3b241cda4c61ef45,Caja pequeña,-41.4,48,435.84,14.62,9.08,6.19,Aéreo Regular,15-Jan-13,14-Jan-13
3713,86144,Not Specified,CUS_0x7369,Corporativo,e75c06c55dd72093077a6af728d142fe,Caja pequeña,-32.09,12,108.96,2.3,9.08,6.19,Aéreo Regular,15-Jan-13,14-Jan-13
8346,89128,Low,CUS_0x5826,Home Office,62cd979fd507cf93ba7006078d2cdb90,Caja pequeña,-73.33,10,52.07,0.78,5.26,4.75,Aéreo Regular,20-Jan-13,14-Jan-13
8041,86591,Critical,CUS_0xac5d,Cliente,791ee758c07285be1904ba85a28f214f,Bolsa de papel,43.46,8,66.92,1.88,8.45,2.87,Aéreo Regular,18-Jan-13,15-Jan-13
9367,88745,Low,CUS_0x84f5,Corporativo,2ed64d578a85cad13ad3f8eb6ee3745b,Caja pequeña,412.03,6,789.78,22.5,132.96,8.99,Aéreo Regular,21-Jan-13,15-Jan-13
8659,86789,Medium,CUS_0x376f,Corporativo,8bc0e42ce18734a15c809b7beaa8ff56,Bolsa de papel,4.06,10,18.62,0.73,1.92,0.75,Aéreo Regular,17-Jan-13,15-Jan-13
4257,89679,Critical,CUS_0x437e,Negocio Pequeño,991dca473709c9158ab7158639e10307,Bolsa de papel,2.38,9,18.84,1.03,2.3,0.78,Aéreo Regular,18-Jan-13,15-Jan-13
1754,22147,Low,CUS_0x28f5,Corporativo,f9fbe3d8c40c3394be0184dd712d17fc,Paquete pequeño,67.66,37,851.77,44.03,23.98,8.99,Aéreo Regular,20-Jan-13,15-Jan-13
8040,86591,Critical,CUS_0x22f4,Cliente,74d5a58008e083bef4ef5e15b6cd425f,Caja mediana,-102.75,2,229.56,7.49,117.12,13.99,Aéreo Regular,18-Jan-13,15-Jan-13
9366,88745,Low,CUS_0x6339,Corporativo,b5c92fac5e55ed406d1d7a7c7931aac9,Bolsa de papel,-21.26,5,15.07,0.63,3.14,2.03,Aéreo Urgente,16-Jan-13,15-Jan-13
4521,86338,Medium,CUS_0x830e,Home Office,561b661a70e8a18a63e7e6ac01e46f02,Caja pequeña,-245.2,9,127.62,1.7,14.18,5.5,Aéreo Regular,17-Jan-13,15-Jan-13
4258,89679,Critical,CUS_0x4969,Negocio Pequeño,b44d6c76e43c4390084bfb2a76c4f3b0,Caja jumbo,-142.32,1,179.75,6.62,189.21,29.21,Camión de reparto,18-Jan-13,15-Jan-13
1747,88677,Low,CUS_0x1e52,Corporativo,dfe9c10160b97a9208733cfc964c7893,Paquete pequeño,-163.36,9,207.19,9.82,23.98,8.99,Aéreo Regular,20-Jan-13,15-Jan-13
8658,86789,Medium,CUS_0x1152,Corporativo,aa344f8df81ee2bbeacd96d6e1a7816d,Caja pequeña,-52.66,12,66.2,4.68,6.13,8.49,Aéreo Regular,17-Jan-13,15-Jan-13
4531,90473,Medium,CUS_0x2181,Home Office,28908e3ee7facf889c1d1b580a64e5b0,Bolsa de papel,8.94,3,12.63,0.45,4.43,2.26,Aéreo Urgente,19-Jan-13,16-Jan-13
951,87347,Medium,CUS_0xa493,Negocio Pequeño,62db1b697dc737cb5b33041ec15144ca,Barril Jumbo,397.59,6,"1,973.91",83.78,346.3,91.05,Camión de reparto,19-Jan-13,16-Jan-13
5056,90099,Medium,CUS_0x32cc,Corporativo,fd9dd635bfa25a67bca8e72a232bc308,Caja pequeña,14.83,1,92.63,3.37,95.49,19.99,Aéreo Regular,19-Jan-13,17-Jan-13
7150,46884,Medium,CUS_0x4282,Corporativo,ba3eb4d3464656848d2a1fdadf0e594d,Caja pequeña,15.58,18,130.57,9.84,8.06,1.39,Aéreo Regular,19-Jan-13,16-Jan-13
7152,46884,Medium,CUS_0xa843,Corporativo,a2e87af7b4844324f809ce102a3ef6d3,Bolsa de papel,15.28,25,274.28,20.67,12.19,2.36,Aéreo Regular,18-Jan-13,16-Jan-13
7466,88958,Not Specified,CUS_0x2c7f,Home Office,11ae9ac6c64d5f3e1be591a4b38320e9,Paquete pequeño,-64.01,10,282.25,11.7,29.71,6.17,Aéreo Regular,18-Jan-13,16-Jan-13
1529,86307,Critical,CUS_0x21bb,Negocio Pequeño,7187c5dfc151deb90e46247c3a70ced1,Caja pequeña,-231.74,10,296.42,19.49,32.22,19.99,Aéreo Regular,17-Jan-13,16-Jan-13
4575,90786,Medium,CUS_0x58ad,Corporativo,0d63438badc5923ffc961d180561f948,Paquete pequeño,-139.71,8,130.77,5.44,17.39,1.99,Aéreo Regular,19-Jan-13,16-Jan-13
7151,46884,Medium,CUS_0x5a72,Corporativo,0b9ba90a343469b62cb70078eb6dde96,Caja pequeña,-788.29,3,398.88,12.03,132.96,2.5,Aéreo Regular,19-Jan-13,16-Jan-13
5057,90099,Medium,CUS_0x2d1e,Corporativo,c314aac9d7ede9e393055096350b0b9d,Caja pequeña,-345.8,7,158.58,7.93,24.1,8.18,Aéreo Regular,17-Jan-13,17-Jan-13
1536,86307,Critical,CUS_0x57f5,Negocio Pequeño,c870620230bb0ec59b3321b00f96c125,Bolsa de papel,-51.64,12,21.15,0.32,1.78,1.57,Aéreo Regular,19-Jan-13,16-Jan-13
4530,90473,Medium,CUS_0x5aaa,Home Office,d054a334a8b2904f3faebf340dc95cb5,Caja pequeña,-35.39,3,44.55,1.6,15.63,13.32,Aéreo Regular,20-Jan-13,16-Jan-13
6644,89299,High,CUS_0xb7e2,Corporativo,15a7bd12fb4771497189afc7b380f658,Caja pequeña,534.98,13,757.3,31.27,61.32,1.49,Aéreo Regular,18-Jan-13,17-Jan-13
5295,91550,Medium,CUS_0x1d2c,Corporativo,584290be93cd82d1e0800c1c8333d1a1,Barril Jumbo,"1,419.99",6,"2,111.39",105.87,370.42,39,Camión de reparto,20-Jan-13,17-Jan-13
5296,91550,Medium,CUS_0x78cd,Corporativo,40a14d0e1c17ed81fe22199f5436958a,Caja pequeña,-80.73,5,81.02,3.7,16.88,9.4,Aéreo Urgente,20-Jan-13,17-Jan-13
5289,91550,Medium,CUS_0x4389,Corporativo,2c5332edb9e71f7a329eaa6a8312595c,Caja pequeña,-28.46,3,35.93,0.93,12.22,5.72,Aéreo Regular,19-Jan-13,17-Jan-13
8543,86220,Critical,CUS_0x5df5,Cliente,d38b202ab31ec161f455f0ad3aafc597,Caja pequeña,660.81,5,996.27,55.97,218.96,0.99,Aéreo Regular,21-Jan-13,18-Jan-13
676,85857,Low,CUS_0xa987,Cliente,a1d63e10e038570b7d9224f52de86ddc,Bolsa de papel,5.56,10,27.66,1.98,3.04,0.7,Aéreo Regular,19-Jan-13,18-Jan-13
1738,91212,Critical,CUS_0x705e,Cliente,61db8e4c546d760fa3648c948d72d8ac,Caja jumbo,-121.79,5,633.15,7.75,126.63,56.14,Camión de reparto,20-Jan-13,18-Jan-13
1736,91212,Critical,CUS_0xb19f,Cliente,c1a03fafcc24ebb59ab2255549ed9dc3,Caja pequeña,-23.39,1,18.02,0.82,20.02,9.03,Aéreo Regular,21-Jan-13,18-Jan-13
8729,86898,Critical,CUS_0x8a3c,Corporativo,6b8ca67d6a4721393442ad53726f8cc2,Caja pequeña,-187.35,9,560.51,21.36,63.55,3.5,Aéreo Regular,21-Jan-13,19-Jan-13
7668,87553,Medium,CUS_0x83fe,Corporativo,ebc128cdfa6d6b0afe6055adba407f00,Caja pequeña,257.73,12,377.73,12.24,32.12,1.49,Aéreo Regular,23-Jan-13,20-Jan-13
